Original row	Gene Description	Expected score (dExp)	 Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change(Unlogged)	39	40	42	47	48	49	41	43	44	45	46	55	56	59	67	68	69	70	71	72	50	51	52	53	54	57	58	60	61	62	63	64	65	66
5554	Gene5554	0.7043899	4.273073	345.3143	80.8117	Infinity	277.0	199.0	-2.0	321.0	-130.0	269.0	-46.0	72.0	53.0	82.0	128.0	232.0	159.0	-22.0	479.0	140.0	107.0	437.0	140.0	3.0	833.0	599.0	174.0	580.0	648.0	497.0	367.0	607.0	780.0	139.0	208.0	940.0	122.0	369.0
4951	Gene4951	0.47313994	4.304238	843.05	195.8651	NaN	702.0	531.0	973.0	1271.0	1069.0	102.0	907.0	639.0	1414.0	1781.0	346.0	2057.0	198.0	683.0	731.0	641.0	981.0	945.0	435.0	993.0	1668.0	1424.0	1488.0	1447.0	2433.0	2812.0	1604.0	1755.0	2492.0	604.0	1126.0	1350.0	1439.0	2340.0
3183	Gene3183	-0.09999697	4.315075	1373.25	318.24475	NaN	2582.0	1260.0	1194.0	1826.0	2534.0	2257.0	1574.0	1584.0	1572.0	2013.0	1403.0	2364.0	2065.0	981.0	1316.0	1594.0	2850.0	737.0	1622.0	2027.0	4892.0	1886.0	2442.0	3189.0	4908.0	2028.0	2936.0	2908.0	3411.0	3250.0	4714.0	4299.0	2216.0	895.0
2546	Gene2546	-0.30377948	4.351156	1318.3572	302.99008	NaN	876.0	1487.0	522.0	1281.0	688.0	696.0	887.0	608.0	458.0	818.0	615.0	981.0	947.0	752.0	2207.0	1516.0	721.0	736.0	901.0	1243.0	2257.0	2785.0	2032.0	2952.0	2110.0	1222.0	1749.0	1037.0	4562.0	2641.0	1350.0	4695.0	1980.0	343.0
6179	Gene6179	1.0059872	4.425683	4695.914	1061.0597	NaN	3495.0	8754.0	3733.0	8269.0	7093.0	5446.0	10161.0	5576.0	5179.0	6730.0	5369.0	8340.0	3445.0	5310.0	8935.0	12108.0	7712.0	5269.0	3705.0	4707.0	12496.0	6456.0	14775.0	13243.0	18426.0	11462.0	6311.0	7167.0	9031.0	8808.0	12854.0	16263.0	11064.0	7922.0
2363	Gene2363	-0.36538762	4.4380984	1394.3357	314.17413	NaN	125.0	1181.0	164.0	745.0	379.0	76.0	597.0	307.0	62.0	100.0	257.0	222.0	56.0	569.0	461.0	3077.0	1102.0	126.0	172.0	231.0	2518.0	1393.0	1636.0	738.0	2110.0	1912.0	1236.0	2710.0	2069.0	843.0	993.0	4985.0	2372.0	1012.0
4377	Gene4377	0.27763942	4.4546432	1206.7858	270.90515	NaN	649.0	671.0	586.0	506.0	767.0	589.0	306.0	687.0	361.0	721.0	399.0	649.0	391.0	508.0	1602.0	1269.0	1935.0	434.0	661.0	1339.0	2730.0	1675.0	2783.0	5116.0	2157.0	1077.0	1335.0	1814.0	1590.0	1292.0	1756.0	932.0	1762.0	1397.0
2111	Gene2111	-0.45345834	4.470197	1274.3428	285.0753	NaN	1738.0	708.0	2274.0	1828.0	1946.0	417.0	1188.0	951.0	1393.0	1062.0	586.0	1170.0	1246.0	1769.0	2601.0	1618.0	1760.0	1025.0	1494.0	2122.0	3427.0	2120.0	3266.0	3457.0	2860.0	1662.0	1489.0	1933.0	2600.0	4346.0	4514.0	2803.0	2631.0	960.0
5833	Gene5833	0.8272317	4.471663	535.47144	119.74772	Infinity	-328.0	-745.0	-87.0	-142.0	-114.0	-692.0	461.0	-62.0	-2.0	80.0	116.0	37.0	-339.0	208.0	89.0	-97.0	56.0	-61.0	11.0	83.0	316.0	490.0	1178.0	-1.0	275.0	589.0	556.0	466.0	-36.0	954.0	942.0	184.0	499.0	15.0
